,F,I,tfidf,H,H-tilde,H-tilde_std,N
TPRG1L,2.2449973330979957e-05,-0.03229818497044157,2.1472163506505684,6.638069141641995,6.605770956671553,0.06215248636099087,116
WRAP73,2.109523356100703e-05,-0.016131091565095623,2.2415461666833973,6.548000838538394,6.531869746973299,0.06460959614115794,109
SMIM1,1.5482740228262038e-06,-0.014250000000001428,4.49003987873446,3.0,2.9857499999999986,0.057960654759511905,8
LRRC47,2.2256439078126683e-05,-0.019253648079597063,2.192338135489734,6.612838855273388,6.593585207193791,0.06644184123865506,115
AL365330.1,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
CEP104,1.6063342986821865e-05,0.07417757980082396,2.5912167709461658,6.115885515632142,6.190063095432966,0.06858055061978725,83
DFFB,4.25775356277206e-06,-0.0540944636379006,3.47843896705598,4.459431618637297,4.405337154999397,0.06955605326670695,22
C1orf174,2.2449973330979957e-05,-0.00799690491820737,2.1789444867322385,6.6143201114509305,6.606323206532723,0.06152579864585838,116
AJAP1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
AL365255.1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
NPHP4,3.87068505706551e-06,-0.041039699376013594,3.573749146860305,4.321928094887363,4.280888395511349,0.06230564534270218,20
KCNAB2,6.560811171726039e-05,0.0237070353616593,1.5503475205676327,7.730679932306151,7.75438696766781,0.0528834058118866,339
RPL22,0.0016756195612036592,0.18003829836659868,2.6326142667780026,8.816662656288315,8.996700954654914,0.011372742118589812,8658
RNF207,1.3547397699729284e-06,-0.01542857142855647,4.6235712713589825,2.807354922057604,2.7919263506290477,0.06582847222176728,7
ICMT,1.1224986665489978e-05,0.039125628563549064,2.8443960641133224,5.6855672020241235,5.7246928305876725,0.06734360456927649,58
GPR153,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
ACOT7,3.483616551358959e-06,0.06999782777681851,3.956048551437967,4.058813890331201,4.12881171810802,0.06641651614085718,18
AL031848.2,9.676712642663775e-07,-0.008799999999969277,4.960043507980195,2.321928094887362,2.313128094887393,0.058673332953542906,5
HES2,3.8706850570655096e-07,-0.003999999999999226,5.8763342398543505,1.0,0.9960000000000008,0.06311893535223174,2
ESPN,7.741370114131019e-07,-0.009499999999997844,5.183187059294405,2.0,1.9905000000000022,0.06826236151786778,4
TNFRSF25,2.748186390516512e-05,0.19281141844765326,2.4815159948813967,6.654925552557566,6.84773697100522,0.06147270554937371,142
PLEKHG5,5.806027585598265e-07,0.6646666666666651,8.814501359781525,0.9182958340544894,1.5829625007211545,0.03646002377103095,3
NOL9,1.7418082756794793e-05,-0.08886943925584223,2.25193782062539,6.380741985218564,6.291872545962722,0.06628003492644084,90
ZBTB48,1.5095671722555488e-05,0.0052069139450781066,2.483883243181427,6.105915039375069,6.111121953320147,0.06652941714250737,78
KLHL21,1.1418520918343254e-05,0.16770877791746752,3.135800929683657,5.57755830359913,5.745267081516597,0.06709360652265646,59
PHF13,2.9030137927991324e-06,-0.03456862166749497,3.861431219312086,3.9068905956085187,3.8723219739410237,0.068208212930999,15
THAP3,8.128438619837571e-06,0.0012575002930006463,3.024632064615378,5.297079327540666,5.298336827833666,0.06306444888464632,42
DNAJC11,1.161205517119653e-05,0.06529324083437515,2.8672193042778016,5.7068905956085185,5.772183836442894,0.06929683213164994,60
LINC01672,3.8706850570655096e-07,-0.0029999999999992255,5.8763342398543505,1.0,0.9970000000000008,0.05469003565549385,2
AL591163.1,3.8706850570655096e-07,-0.0029999999999992255,5.8763342398543505,1.0,0.9970000000000008,0.05469003565549385,2
CAMTA1-DT,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
CAMTA1,4.877063171902542e-05,-0.01210309343523619,1.6603286929505727,7.483614733047901,7.471511639612665,0.059420392803471174,252
VAMP3,5.206071401753111e-05,0.35790616606214254,2.246099446738188,7.17725197786768,7.535158143929823,0.05849832630582074,269
PER3,5.612493332744989e-06,0.14211563361846213,3.6934677534381386,4.651084443403434,4.793200077021896,0.06544828642836738,29
Z98884.1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TNFRSF9,1.5482740228262038e-06,0.233999999999996,5.284081452981694,2.75,2.983999999999996,0.06220128616163454,8
PARK7,0.00021424241790857598,0.21552577646934523,1.240114154297042,8.355559044374205,8.57108482084355,0.03587782352505751,1107
AL034417.4,9.676712642663775e-07,-0.008399999999969321,4.960043507980195,2.321928094887362,2.313528094887393,0.05735363981365447,5
ERRFI1,5.806027585598265e-07,-0.0026666666666681493,5.470869131746186,1.584962500721156,1.582295834054488,0.042079290235428585,3
SLC45A1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
RERE,3.8319782064948544e-05,0.2204293944365494,2.1268821024478965,6.999718789269516,7.2201481837060655,0.06030709377097718,198
AL096855.1,9.676712642663775e-07,0.392000000000031,6.478983824118006,1.9219280948873623,2.3139280948873933,0.05599999999888606,5
ENO1,0.0003566836280085867,0.37154694590783777,1.6820174552145535,8.388252006218494,8.759798952126332,0.027600888748305935,1843
ENO1-AS1,2.322411034239306e-06,0.13960375937476188,4.550821251944646,3.4182958340544896,3.5578995934292514,0.06651770953997777,12
CA6,3.8706850570655096e-07,-0.003999999999999226,5.8763342398543505,1.0,0.9960000000000008,0.06311893535223174,2
SLC2A5,5.806027585598265e-07,-0.008000000000001561,5.470869131746186,1.584962500721156,1.5769625007211545,0.07259017380736701,3
GPR157,3.87068505706551e-06,0.15481560797450822,4.087899625020146,4.1219280948873624,4.276743702861871,0.06895495670284021,20
MIR34AHG,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
LINC01759,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
H6PD,2.3998247353806162e-05,0.21497982638784308,2.5110176405736917,6.472144394977057,6.6871242213649005,0.06213467489181738,124
SPSB1,1.161205517119653e-06,-0.009792481250345375,4.7777219511862405,2.584962500721156,2.5751700194708107,0.05943175786595048,6
SLC25A33,1.8192219768207896e-05,0.06640383816129347,2.4792639545866346,6.277993106996787,6.34439694515808,0.06646571973022053,94
TMEM201,2.7094795399458568e-06,0.3108477108682344,4.765337232397345,3.4677201004744993,3.7785678113427337,0.06693166492639108,14
PIK3CD,5.84473443616892e-05,-0.065224664186176,1.5101798641266502,7.711720467715934,7.646495803529758,0.05743463998435203,302
PIK3CD-AS1,9.676712642663775e-07,-0.010399999999968657,4.960043507980195,2.321928094887362,2.3115280948873935,0.06365406506951911,5
PIK3CD-AS2,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
CLSTN1,2.361117884809961e-05,0.012862661309653411,2.2256530530602503,6.652048812972723,6.664911474282376,0.06317533972325569,122
CTNNBIP1,2.361117884809961e-05,0.09771991550508385,2.360713170652579,6.56791223505067,6.665632150555754,0.06132068449649424,122
LZIC,2.4578850112365987e-05,0.11711583060070474,2.283654485286633,6.598843938706599,6.715959769307304,0.06235707923818991,127
NMNAT1,7.3543016084244685e-06,0.2500726622235909,3.6856978021673013,4.9122725791761255,5.162345241399716,0.0651953140695648,38
RBP7,7.625249562419055e-05,0.8798705732999421,3.39008256999017,7.008744519679986,7.888615092979928,0.050944657203195215,394
UBE4B,2.148230206671358e-05,0.09881780700882548,2.4311171389889834,6.449689177102445,6.54850698411127,0.0662107540990115,111
KIF1B,1.6837479998234968e-05,0.09660931098163772,2.6123122359784627,6.149727691201292,6.24633700218293,0.06896355062428314,87
AL139424.3,7.741370114131019e-07,-0.006188721875539205,5.183187059294405,2.0,1.9938112781244608,0.062247565566322924,4
AL139424.2,5.806027585598265e-07,-0.0026666666666681493,5.470869131746186,1.584962500721156,1.582295834054488,0.042079290235428585,3
PGD,0.00011012098987351376,0.6897120553040939,2.8927013877424947,7.489202303092975,8.17891435839707,0.04473917772422884,569
CENPS,1.3547397699729284e-06,-0.013142857142841358,4.6235712713589825,2.807354922057604,2.794212064914763,0.06120157394222693,7
DFFA,2.2449973330979957e-05,0.09739035878716518,2.3854986728006797,6.506645758039956,6.604036116827121,0.06462090350821352,116
PEX14,7.547835861277744e-06,0.06414125985530905,3.2347926887880347,5.1315560650160945,5.195697324871404,0.0672934656544174,39
CASZ1,3.483616551358959e-06,0.18685948194371882,4.271504285446329,3.94770277922009,4.134562261163809,0.061877099648899446,18
AL139423.1,3.8706850570655096e-07,-0.003999999999999226,5.8763342398543505,1.0,0.9960000000000008,0.06311893535223174,2
C1orf127,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TARDBP,3.541676827214942e-05,0.06517180505635167,1.9657546704442683,7.070978100659703,7.136149905716055,0.059302391151286944,183
MASP2,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
AL109811.3,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
SRM,5.496372781033024e-05,0.01046371028302584,1.6388863198599866,7.579629503313713,7.590093213596739,0.054485406392226016,284
EXOSC10,1.8579288273914447e-05,-0.001047916781594438,2.3610799525515773,6.376629167387823,6.375581250606229,0.06354838972783039,96
AL109811.2,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
MTOR,1.0644383906930151e-05,-0.016191312897092303,2.7692898769386107,5.672268804433751,5.656077491536658,0.06823724469299892,55
UBIAD1,1.3547397699729285e-05,0.03970891245460795,2.695940771136404,5.929283016944966,5.968991929399574,0.0661526358284991,70
AL031731.1,5.806027585598265e-07,-0.00600000000000156,5.470869131746186,1.584962500721156,1.5789625007211545,0.06296030495519321,3
FBXO2,2.5159452870925815e-06,0.2800754192301653,4.930056356273367,3.3927474104487843,3.6728228296789496,0.06782944078223382,13
FBXO44,9.096109884103948e-06,0.061293000867800984,3.069516774927313,5.3843760857201906,5.4456690865879915,0.06622299916086394,47
FBXO6,1.6450411492528416e-05,0.15786167770383752,2.761663819531033,6.062217112557385,6.220078790261223,0.0645918282073668,85
MAD2L2,2.5933589882338915e-05,0.15248242750331809,2.3417122768599095,6.624899522705804,6.777381950209122,0.060604291551633716,134
DRAXIN,7.741370114131019e-07,-0.010499999999998177,5.183187059294405,2.0,1.9895000000000018,0.07169204976841885,4
AGTRAP,0.00011515288044769892,0.5670875743635264,2.4748882325222894,7.644341461796236,8.211429036159762,0.04561746743637548,595
C1orf167,5.806027585598265e-07,-0.004666666666668373,5.470869131746186,1.584962500721156,1.5802958340544877,0.055581771592713464,3
MTHFR,3.4642631260736315e-05,0.3012086483457619,2.431714061244654,6.80857543402058,7.109784082366342,0.0618707385344153,179
CLCN6,1.0450849654076876e-05,0.13720026614182768,3.124340983192103,5.495628242904209,5.632828509046036,0.0686867394787024,54
NPPA-AS1,1.5482740228262038e-06,-0.019344360937773253,4.49003987873446,3.0,2.9806556390622267,0.06922109956085318,8
KIAA2013,4.277106988057388e-05,0.04122672448804998,1.8453084673945708,7.295622072877987,7.336848797366037,0.05847916172668776,221
PLOD1,1.1805589424049805e-05,0.15696429717997518,3.071394227150096,5.635655370349772,5.792619667529747,0.06523278453809253,61
MFN2,1.6063342986821865e-05,-0.005300343002528685,2.4449485611923825,6.197269702405196,6.191969359402667,0.06703265784408441,83
MIIP,3.096548045652408e-05,0.10433484633917356,2.1468139456183484,6.875777607479524,6.980112453818697,0.06188568414116245,160
TNFRSF8,5.806027585598265e-06,0.26488661624775744,4.020726714655314,4.573557262275186,4.838443878522943,0.06547288453639095,30
TNFRSF1B,0.00021617776043710872,0.8358646175203095,3.390300144473394,7.7373101560560364,8.573174773576346,0.03439809648078621,1117
VPS13D,2.4191781606659436e-05,0.06866953206113902,2.2803822264961577,6.627666984610164,6.696336516671303,0.0629305542188782,125
DHRS3,1.0257315401223602e-05,0.2897865096340482,3.4613699802371833,5.322075643160804,5.611862152794852,0.06627045385331919,53
AC254633.1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
PRDM2,8.76710165425338e-05,0.09973073832242729,1.4575350343367626,7.905014096876099,8.004744835198526,0.04963987221851386,453
KAZN,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TMEM51-AS1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TMEM51,4.25775356277206e-06,0.13505481874915226,3.931124061546336,4.277613436819116,4.412668255568268,0.06407483079371291,22
FHAD1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
AL031283.1,2.5159452870925815e-06,0.12390121442197355,4.424956001511819,3.5465935642949384,3.670494778716912,0.06956075365463775,13
EFHD2,0.0002690126114660529,0.5929180157264753,2.7682395899110164,8.072475312304366,8.665393328030842,0.03167042736891001,1390
CTRC,3.8706850570655096e-07,-0.0029999999999992255,5.8763342398543505,1.0,0.9970000000000008,0.05469003565549385,2
CASP9,9.289644136957223e-06,-0.10638957571248486,2.698280409506405,5.584962500721156,5.478572925008671,0.06442613999635405,48
DNAJC16,1.0644383906930151e-05,0.053026513466388536,2.923204256484765,5.599541531706478,5.652568045172867,0.06953587972379326,55
AL121992.3,3.8706850570655096e-07,0.9980000000000008,13.138962840828592,0.0,0.9980000000000008,0.04467661580736863,2
AGMAT,3.0965480456524077e-06,0.2615861079474353,4.491913246627472,3.702819531114783,3.9644056390622184,0.06593310194228866,16
AL121992.1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
DDI2,2.2062904825273405e-05,0.33768835059367497,2.90247341498919,6.249299443875436,6.586987794469111,0.06358670904172979,114
AL121992.2,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
PLEKHM2,3.309435723791011e-05,0.11328883298882086,2.133214306710737,6.945373055707704,7.058661888696525,0.06238566961677941,171
SLC25A34,5.806027585598265e-07,-0.006666666666667931,5.470869131746186,1.584962500721156,1.5782958340544881,0.0663324958074826,3
FBLIM1,5.031890574185163e-06,0.02002452259422771,3.4846298193679393,4.623516641218015,4.643541163812243,0.06620155671262491,26
UQCRHL,1.3547397699729284e-06,-0.01782212678600814,4.6235712713589825,2.807354922057604,2.789532795271596,0.07214571043862858,7
AL450998.2,2.186937057242013e-05,0.2671340407609577,2.7791878608159193,6.304562480056866,6.571696520817824,0.06661067203037238,113
SPEN,6.502750895870057e-05,0.032781916907672404,1.512257209984827,7.716327291983794,7.749109208891467,0.05463047621061391,336
ZBTB17,1.1805589424049805e-05,-0.03846814882796856,2.638816258654146,5.832376681825182,5.7939085329972135,0.06337409305825452,61
EPHA2,5.806027585598265e-07,0.6639999999999983,8.814501359781525,0.9182958340544894,1.5822958340544877,0.04207929023543386,3
ARHGEF19,4.644822068478612e-06,0.030672806768954786,3.5832909959845005,4.501629167387823,4.532301974156778,0.068260854974398,24
CPLANE2,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
FBXO42,1.8192219768207896e-05,0.08875917192719296,2.5241115182683282,6.261931670780543,6.350690842707736,0.06272499904707741,94
SZRD1,3.8319782064948544e-05,0.14140678089460934,2.0803755212404678,7.079387665586776,7.220794446481385,0.05952353748336536,198
NECAP2,7.373655033709796e-05,0.028901932850287082,1.4670120535934887,7.835003675675574,7.863905608525861,0.05044262642764885,381
LINC01772,5.612493332744989e-06,0.0013478866354823538,3.3528939427476314,4.789015477886193,4.790363364521675,0.06643058962174928,29
AL137802.2,1.5482740228262038e-06,-0.016844360937772418,4.49003987873446,3.0,2.9831556390622276,0.06428088696571985,8
LINC01783,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
NBPF1,3.2900822985056833e-06,0.07693887646957309,4.034198491810422,3.9698157824268097,4.046754658896383,0.06872474246035944,17
CROCC,8.128438619837571e-06,-0.0027539718029139237,3.024632064615378,5.297079327540666,5.294325355737752,0.07069320591000129,42
BX284668.5,1.6837479998234968e-05,0.009238318080913466,2.468092508385247,6.23604694412459,6.2452852622055035,0.06609953752895908,87
BX284668.6,1.548274022826204e-05,0.20441204264218626,2.823628419132334,5.942371495179859,6.146783537822046,0.065465512501254,80
ATP13A2,1.6450411492528416e-05,0.017145345939301393,2.4569150633461305,6.20339358314562,6.220538929084921,0.06459399983964569,85
SDHB,5.651200183315644e-05,0.20113896196802106,1.9065638881699583,7.413850457985182,7.614989419953203,0.05503036475240032,292
PADI2,5.9995618384515405e-06,0.20692554845407685,3.758628932841073,4.671780584510634,4.878706132964711,0.06885147248767078,31
PADI4,3.0191343445110977e-05,0.6570387425606752,3.309834805209956,6.298925838016539,6.955964580577215,0.06160925422835296,156
PADI6,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
RCC2,4.18033986163075e-05,0.2989994325328684,2.3202350208522513,7.0136229931891405,7.312622425722009,0.05651859929768285,216
ARHGEF10L,1.6450411492528416e-05,0.1625804680947418,2.761663819531033,6.056449759667114,6.219030227761856,0.06632278212273846,85
ALDH4A1,2.322411034239306e-06,-0.027459147917089588,4.084574770626295,3.584962500721156,3.5575033528040665,0.06875081911467823,12
IFFO2,9.483178389810499e-06,0.13311008060677842,3.2001345100306033,5.369811884931535,5.502921965538313,0.06396521402493842,49
UBR4,5.5931399074596615e-05,0.15065203066903443,1.870055346611166,7.456282635756553,7.6069346664255875,0.056608352190690076,289
AL035413.1,1.935342528532755e-06,-0.022675488750257156,4.26689632742025,3.321928094887362,3.299252606137105,0.06627150037283816,10
EMC1,1.5676274481115314e-05,-0.10699965099748088,2.2978792319448855,6.26577592881055,6.158776277813069,0.06669286027977726,81
MRTO4,2.0127562296740652e-05,0.055825759997305546,2.391620688985991,6.416691881561025,6.472517641558331,0.06385063789951961,104
AKR7A2,4.4899946661959914e-05,0.13148805134794017,1.8991678590325547,7.257449475591141,7.388937526939081,0.05675967320320548,232
PQLC2,7.3543016084244685e-06,0.12349718979846269,3.401135118833209,5.037401197654112,5.1608983874525745,0.06762880668468305,38
CAPZB,0.00026417425514472105,0.12645605195573673,1.1757260437800303,8.532250941075144,8.658706993030881,0.03202311212270119,1365
